DmartProduct,DProductPrices,JioProduct,JProductPrice,RelVegetables,RVegPrices,RelFruits,RFruitPrices,RelDiary,RDairyPrices,RelDry_Fruits,RDryFPrices
/tur-dal-latur,61.0,,,,,,,,,,
/moong--dal,160.0,,,,,,,,,,
/tur-dal-premium-gujarat,143.0,,,,,,,,,,
/moong-whole,186.0,,,,,,,,,,
/premia-groundnut,186.0,,,,,,,,,,
/chana--dal,80.0,,,,,,,,,,
/udid-dal,85.0,,,,,,,,,,
/masoor--dal,109.0,,,,,,,,,,
/moong-dal-chilti,168.0,,,,,,,,,,
/chana-small,41.0,,,,,,,,,,
/matki,67.0,,,,,,,,,,
/vatana-white,65.0,,,,,,,,,,
/masoor-whole,105.0,,,,,,,,,,
/chowli-small,99.0,,,,,,,,,,
/chana-big,55.0,,,,,,,,,,
/rajma-red-small,65.0,,,,,,,,,,
/dmart-healthy-choice-unpolished-toor-dal-pturdal0dmar1xx19119,142.0,,,,,,,,,,
/mix--dal,75.0,,,,,,,,,,
/chowli-big,61.0,,,,,,,,,,
/dmart-healthy-choice-unpolished-moong-dal-pmoongdal0dmar5xx19119,212.0,,,,,,,,,,
/udid-whole,88.0,,,,,,,,,,
/mixed-pulses-for-sprout,75.0,,,,,,,,,,
/udid-dal-chilti,81.0,,,,,,,,,,
/chana-green,57.0,,,,,,,,,,
/vatana-black,48.0,,,,,,,,,,
/premia-soyabean,50.0,,,,,,,,,,
/dmart-healthy-choice-unpolished-chana-dal-pchanadal0dmar3xx19119,100.0,,,,,,,,,,
/chowli-red,66.0,,,,,,,,,,
/premia-soyawadi,32.0,,,,,,,,,,
/dal-rice-mix,58.0,,,,,,,,,,
/rajma-kashmiri,67.0,,,,,,,,,,
/daliya-pdalsnpulses1xx140917,62.0,,,,,,,,,,
/wal-papdi-pwpulsesprming137xx50717,77.0,,,,,,,,,,
/premia-sugar,255.0,,,,,,,,,,
/premia-iodised-salt,16.0,,,,,,,,,,
/mast-mast-premium-jaggery,80.0,,,,,,,,,,
